# generated 2026-09-19T23:35Z against veracium @ c8de9be8e8b77e5395269607c904d2c444be90c2
# RE-PINNED 2026-09-20 0041 tranche 4a (the readers) landed in c8de9be8e8b77e5395269607c904d2c444be90c2: body byte-identical; the run was made on the working tree this commit then committed, so the pin moves to it
# the pin: tests/test_0042_inv7.py asserts this commit is an ancestor of HEAD with src/ unchanged since
INV-7 FOUR-ARM DECISION-TRACE DIFF — specs/0042
HEAD c8de9be8e8b77e5395269607c904d2c444be90c2
twin (uninstrumented): derived from HEAD c8de9be8e8b77e5395269607c904d2c444be90c2 by inv7_uninstrument.py
twin derivation: 159 declare_site removed, 287 fire() unwrapped, 147 consult blocks spliced, 4 census-enabled bypass blocks removed, across 31 modules; the twin's census registry is empty (asserted below)

python 3.12.3; pytest -q -p no:randomly -p no:cacheprovider -p inv7_observer; PYTHONHASHSEED=0
suites: tests/test_0027_policy_lane.py tests/test_0027_policy_receipt.py tests/test_0027_semantic_recall.py tests/test_compile_gate.py tests/test_0037_procedural.py tests/test_0019_ungrounded.py tests/test_0014_schema.py tests/test_schema_model.py tests/test_0003_supersession_contested.py tests/test_0003_supersession_guard.py tests/test_0003_supersession_recall.py tests/test_0003_supersession_store.py tests/test_0028_resolution.py tests/test_maintenance_invariant.py tests/test_0020_scope_vectors.py tests/test_0015_lifecycle.py tests/test_0011_entitlement.py tests/test_0009_import_migration.py tests/test_0010_consolidation_primitives.py tests/test_0014_receipt_split.py tests/test_0022_revocation_operation.py tests/test_0037_capture.py tests/eval/edge_events/test_0029_acceptance_corpus.py tests/test_0010_visibility_reservation.py tests/test_0020_read_surfaces.py tests/test_0022_sweep_vectors.py tests/test_0039_degradation_visibility.py tests/test_audit.py tests/test_confirm_contract_0008.py

ARM              RECORDS     SHA256(observer trace)                                            PYTEST
healthy              75543  0bc41bdb36154f626d2fce85353bbb9ce4d59128404e5bc428ea64b392b0e8f1  861 passed, 2 warnings in 111.21s (0:01:51) (exit 0, 112.1s)
failing              75543  0bc41bdb36154f626d2fce85353bbb9ce4d59128404e5bc428ea64b392b0e8f1  861 passed, 2 warnings in 110.27s (0:01:50) (exit 0, 111.2s)
off                  75543  0bc41bdb36154f626d2fce85353bbb9ce4d59128404e5bc428ea64b392b0e8f1  861 passed, 2 warnings in 110.83s (0:01:50) (exit 0, 111.7s)
uninstrumented       75543  0bc41bdb36154f626d2fce85353bbb9ce4d59128404e5bc428ea64b392b0e8f1  861 passed, 2 warnings in 115.46s (0:01:55) (exit 0, 116.4s)

VERDICT: observer traces IDENTICAL across 4 arms over 861 tests (reference: uninstrumented; 0 tests excluded as non-reproducible between two runs of the reference arm)
  healthy: 861 tests compared, 0 differing, 0 not in both
  failing: 861 tests compared, 0 differing, 0 not in both
  off: 861 tests compared, 0 differing, 0 not in both

EXCLUDED AS NON-REPRODUCIBLE (their own trace differs between the two reference runs; inputs the run does not freeze):
  (none)
control run uninstrumented-control: records 75543, sha256 0bc41bdb36154f626d2fce85353bbb9ce4d59128404e5bc428ea64b392b0e8f1, 861 passed, 2 warnings in 111.44s (0:01:51)

CROSS-CHECKS:
  healthy: {"any_errors": false, "census_ids_not_in_declaration": [], "census_records": 7279, "ids_consulted": 152, "ids_fired": 96, "subsequence_holds": true, "subsequence_matched": 7223}
  failing: {"all_unmeasured": true, "census_ids_not_in_declaration": [], "census_records": 7279, "ids_with_errors": 152, "subsequence_holds": true, "subsequence_matched": 7223}
  off: {"census_enabled": false, "registry_size": 159}
  uninstrumented: {"census_enabled": false, "registry_size": 0, "veracium_file": "/tmp/claude-1000/-home-ubuntu-Dev-veracium/5eb87875-1be0-4a35-a5df-812ce4c2dee5/scratchpad/inv7/trace13/twin/src/veracium/__init__.py"}

OBSERVED SYMBOLS: 96 wrapped of 103 declared; EXCLUDED (unreachable from outside, by name):
  asof/recall.py:recall_at.claim: nested inside a function; unreachable from outside
  asof/recall.py:recall_at.grounded: nested inside a function; unreachable from outside
  graph.py:_absorption_scope_gate.same_scope: nested inside a function; unreachable from outside
  graph.py:_build_supersession_plan._src_revoked: nested inside a function; unreachable from outside
  proactive.py:assemble._eligible: nested inside a function; unreachable from outside
  proactive.py:assemble._is_variant: nested inside a function; unreachable from outside
  scope.py:close_absorption_rows.walk: nested inside a function; unreachable from outside
from-import bindings rebound: 15

HISTOGRAM (reference arm), symbol -> decision: count
  __init__.py:Memory._build_scope_policy -> None: 257
  __init__.py:Memory._build_scope_policy -> value: 221
  __init__.py:Memory._find_edge -> value: 17
  __init__.py:Memory._recall -> NotImplementedError: 1
  __init__.py:Memory._recall -> OperationalError: 1
  __init__.py:Memory._recall -> ScopeError: 7
  __init__.py:Memory._recall -> TypeError: 2
  __init__.py:Memory._recall -> ValueError: 7
  __init__.py:Memory._recall -> value: 138
  __init__.py:Memory.correct -> CorrectionRefused: 1
  __init__.py:Memory.correct -> ProcedureValueError: 1
  __init__.py:Memory.correct -> ValueError: 1
  __init__.py:Memory.correct -> value: 1
  __init__.py:Memory.dispute -> value: 1
  __init__.py:Memory.recall -> NotImplementedError: 1
  __init__.py:Memory.recall -> OperationalError: 1
  __init__.py:Memory.recall -> ScopeError: 11
  __init__.py:Memory.recall -> TypeError: 2
  __init__.py:Memory.recall -> ValueError: 9
  __init__.py:Memory.recall -> value: 153
  __init__.py:Memory.record_outcome -> value: 2
  asof/adapter.py:adapt -> value: 150
  asof/adapter.py:derive_quarantined -> False: 144
  asof/adapter.py:derive_quarantined -> True: 6
  asof/adapter.py:derive_use_only -> False: 150
  asof/resolve.py:_resolve_edge -> value: 57
  asof/resolve.py:held_at -> False: 44
  asof/resolve.py:held_at -> True: 47
  asof/resolve.py:resolve_as_of -> FutureAsOfRefused: 2
  asof/resolve.py:resolve_as_of -> ScopeError: 1
  asof/resolve.py:resolve_as_of -> ValueError: 2
  asof/resolve.py:resolve_as_of -> value: 70
  authority.py:permitted -> False: 312
  authority.py:permitted -> True: 556
  authority.py:self_assertion -> False: 3
  authority.py:self_assertion -> True: 7
  compile.py:_grounded_inputs -> value: 36
  diagnostics.py:Reporter.send -> True: 1
  gate.py:exclude_procedural -> value: 256
  gate.py:partition_parts -> value: 68
  gate.py:scoped_assertable -> False: 182
  gate.py:scoped_assertable -> True: 231
  graph.py:_strictly_redundant -> True: 698
  graph.py:apply_supersession -> ReceiptSchemaBoundaryError: 1
  graph.py:apply_supersession -> SupersessionIntegrityError: 1
  graph.py:apply_supersession -> value: 722
  graph.py:collapse_for_render -> value: 233
  graph.py:plan_correction -> ValueError: 1
  graph.py:plan_correction -> value: 29
  graph.py:semantic_duplicate_of -> False: 39
  graph.py:semantic_duplicate_of -> True: 3
  grounding.py:ungrounded -> False: 157
  grounding.py:ungrounded -> True: 41
  ingest.py:ingest_event -> RuntimeError: 7
  ingest.py:ingest_event -> TypeError: 4
  ingest.py:ingest_event -> ValueError: 3
  ingest.py:ingest_event -> _Boom: 2
  ingest.py:ingest_event -> value: 316
  mcp_server.py:_closed_set -> None: 5
  mcp_server.py:_closed_set -> ValueError: 1
  portability.py:_preflight_and_commit -> ValueError: 6
  portability.py:_preflight_and_commit -> value: 37
  portability.py:_validate_incoming_chain -> ValueError: 10
  portability.py:_validate_incoming_chain -> value: 12
  portability.py:export_memory -> value: 19
  portability.py:import_memory -> ValidationError: 7
  portability.py:import_memory -> ValueError: 19
  portability.py:import_memory -> value: 37
  procedural_gate.py:actor_present -> False: 464
  procedural_gate.py:actor_present -> True: 82
  procedural_gate.py:positive_form -> False: 34
  procedural_gate.py:positive_form -> True: 141
  procedures.py:build_procedure_edge -> ProcedureTypeError: 12
  procedures.py:build_procedure_edge -> ProcedureValueError: 15
  procedures.py:build_procedure_edge -> value: 84
  registry.py:effective_registry -> value: 328
  schema.py:Edge.assertable -> False: 2930
  schema.py:Edge.assertable -> True: 2226
  schema.py:Edge.quarantined -> False: 12241
  schema.py:Edge.quarantined -> True: 299
  schema.py:Edge.use_only -> False: 5098
  schema.py:Edge.use_only -> True: 1775
  schema.py:Edge.valid_now -> False: 576
  schema.py:Edge.valid_now -> True: 2617
  schema.py:Episode.active -> True: 204
  schema.py:Episode.assertable -> False: 62
  schema.py:Episode.assertable -> True: 142
  schema.py:Episode.quarantined -> False: 204
  schema.py:Episode.use_only -> False: 142
  schema.py:Episode.use_only -> True: 62
  schema.py:Episode.valid_now -> True: 142
  scope.py:Identity.groupable -> False: 10
  scope.py:Identity.groupable -> True: 6158
  scope.py:_revalidate -> None: 4660
  scope.py:_revalidate -> ScopeError: 10
  scope.py:apply_filters -> value: 7
  scope.py:classify -> ScopeError: 14
